iter	Passed	Remaining
0	60	60810
1	61	30654
2	61	20598
3	62	15552
4	62	12523
5	63	10512
6	64	9080
7	64	8010
8	65	7174
9	65	6500
10	66	5957
11	66	5508
12	67	5122
13	68	4790
14	68	4503
15	69	4260
16	69	4037
17	70	3839
18	71	3666
19	71	3501
20	72	3388
21	73	3254
22	73	3134
23	74	3026
24	75	2930
25	75	2835
26	76	2744
27	76	2662
28	77	2585
29	77	2515
30	78	2447
31	78	2384
32	79	2327
33	79	2271
34	80	2218
35	80	2168
36	81	2121
37	82	2077
38	82	2036
39	83	1995
40	83	1958
41	84	1921
42	84	1888
43	85	1855
44	85	1823
45	86	1797
46	87	1768
47	87	1740
48	88	1711
49	88	1685
50	89	1661
51	89	1639
52	90	1615
53	90	1593
54	92	1582
55	92	1565
56	93	1545
57	94	1528
58	94	1510
59	95	1492
60	95	1476
61	96	1460
62	97	1447
63	98	1434
64	98	1420
65	99	1408
66	100	1395
67	100	1381
68	101	1367
69	102	1355
70	102	1345
71	103	1335
72	104	1323
73	104	1310
74	105	1299
75	105	1287
76	106	1277
77	107	1267
78	107	1257
79	108	1246
80	108	1235
81	110	1240
82	111	1227
83	112	1226
84	112	1215
85	113	1205
86	113	1195
87	114	1184
88	114	1175
89	115	1166
90	116	1160
91	116	1153
92	117	1145
93	117	1136
94	118	1127
95	118	1119
96	119	1112
97	120	1108
98	120	1100
99	124	1123
100	204	1823
101	205	1808
102	206	1795
103	206	1783
104	209	1784
105	233	1966
106	233	1951
107	234	1934
108	234	1919
109	235	1904
110	235	1888
111	236	1873
112	236	1858
113	237	1847
114	238	1833
115	238	1818
116	239	1805
117	239	1793
118	240	1781
119	241	1768
120	241	1754
121	241	1740
122	242	1726
123	242	1713
124	242	1700
125	243	1688
126	243	1675
127	244	1664
128	244	1653
129	245	1642
130	245	1631
131	246	1621
132	246	1609
133	247	1598
134	247	1586
135	248	1575
136	248	1565
137	248	1554
138	249	1544
139	249	1534
140	250	1525
141	250	1514
142	251	1505
143	251	1496
144	252	1486
145	252	1478
146	253	1469
147	253	1461
148	254	1454
149	255	1447
150	255	1438
151	256	1429
152	256	1420
153	257	1412
154	257	1404
155	258	1395
156	258	1387
157	259	1380
158	259	1375
159	260	1369
160	261	1361
161	261	1353
162	262	1346
163	262	1338
164	263	1331
165	263	1325
166	264	1317
167	264	1310
168	264	1303
169	265	1297
170	267	1295
171	267	1288
172	268	1281
173	268	1275
174	268	1268
175	269	1261
176	270	1255
177	270	1249
178	271	1243
179	271	1237
180	272	1231
181	272	1225
182	273	1220
183	275	1221
184	275	1215
185	276	1209
186	277	1205
187	277	1200
188	278	1195
189	279	1190
190	280	1186
191	280	1181
192	281	1178
193	282	1174
194	283	1169
195	284	1166
196	285	1165
197	286	1160
198	286	1154
199	287	1150
200	288	1146
201	289	1141
202	290	1141
203	291	1137
204	292	1132
205	292	1127
206	293	1123
207	294	1121
208	295	1117
209	295	1112
210	296	1107
211	296	1102
212	297	1097
213	297	1093
214	299	1092
215	300	1089
216	300	1084
217	301	1080
218	301	1075
219	302	1071
220	302	1067
221	303	1063
222	304	1060
223	304	1056
224	305	1053
225	306	1050
226	307	1045
227	307	1042
228	308	1039
229	309	1035
230	310	1032
231	310	1029
232	311	1025
233	312	1021
234	312	1017
235	315	1021
236	316	1017
237	317	1015
238	317	1012
239	318	1008
240	319	1004
241	320	1002
242	322	1005
243	323	1000
244	323	997
245	323	992
246	324	990
247	325	987
248	326	983
249	327	982
250	328	980
251	329	977
252	330	975
253	331	973
254	332	970
255	333	968
256	336	973
257	337	969
258	347	994
259	348	992
260	351	994
261	351	991
262	352	987
263	353	984
264	354	982
265	355	979
266	355	976
267	356	972
268	356	969
269	357	966
270	358	964
271	358	960
272	359	957
273	359	953
274	360	950
275	362	950
276	362	947
277	364	945
278	364	942
279	366	941
280	366	938
281	367	935
282	368	932
283	369	930
284	369	927
285	370	924
286	371	921
287	371	918
288	372	915
289	372	913
290	373	910
291	374	908
292	375	905
293	375	902
294	376	900
295	377	897
296	377	894
297	379	893
298	380	891
299	380	888
300	381	886
301	382	883
302	382	880
303	383	878
304	384	876
305	385	874
306	386	871
307	386	868
308	387	865
309	387	862
310	388	860
311	388	857
312	389	855
313	390	852
314	391	850
315	392	848
316	392	846
317	393	843
318	395	843
319	396	842
320	397	840
321	397	837
322	398	835
323	399	832
324	399	830
325	400	828
326	401	826
327	402	823
328	403	822
329	403	820
330	405	819
331	406	817
332	406	814
333	407	811
334	408	810
335	408	807
336	409	805
337	410	803
338	410	801
339	411	798
340	411	796
341	412	793
342	412	790
343	414	790
344	415	788
345	415	786
346	416	783
347	416	781
348	417	778
349	418	776
350	418	774
351	419	772
352	419	769
353	420	767
354	421	765
355	421	763
356	422	760
357	422	758
358	423	755
359	423	753
360	424	751
361	426	751
362	426	748
363	427	746
364	427	744
365	428	742
366	429	741
367	430	739
368	431	737
369	431	735
370	432	733
371	433	731
372	434	730
373	435	728
374	436	727
375	437	725
376	437	723
377	439	722
378	439	720
379	440	718
380	440	716
381	441	713
382	441	711
383	442	710
384	443	707
385	443	705
386	444	704
387	445	702
388	445	700
389	446	698
390	446	696
391	447	693
392	447	691
393	448	689
394	449	688
395	450	687
396	451	685
397	451	683
398	452	681
399	453	679
400	453	677
401	454	675
402	454	673
403	455	671
404	455	669
405	456	667
406	457	665
407	457	664
408	458	662
409	458	660
410	459	658
411	459	656
412	460	654
413	461	652
414	461	650
415	462	648
416	462	646
417	463	644
418	463	643
419	464	641
420	464	639
421	465	637
422	465	635
423	466	633
424	467	631
425	467	630
426	468	628
427	468	626
428	469	624
429	469	623
430	470	621
431	471	619
432	471	617
433	472	615
434	472	614
435	473	612
436	473	610
437	474	608
438	475	607
439	475	605
440	476	603
441	476	602
442	477	600
443	478	598
444	478	596
445	479	595
446	479	593
447	480	591
448	481	590
449	481	588
450	482	586
451	482	585
452	483	584
453	484	582
454	485	581
455	485	579
456	486	577
457	486	576
458	487	574
459	488	572
460	488	571
461	489	569
462	489	567
463	490	566
464	490	564
465	491	563
466	492	561
467	492	559
468	493	558
469	493	556
470	493	554
471	494	553
472	494	551
473	495	549
474	495	547
475	496	546
476	496	544
477	497	542
478	497	541
479	498	539
480	498	537
481	498	536
482	499	534
483	499	532
484	500	531
485	500	529
486	501	528
487	502	526
488	502	525
489	503	523
490	503	522
491	504	520
492	504	519
493	505	517
494	505	515
495	506	514
496	506	512
497	507	511
498	507	509
499	508	508
500	508	506
501	509	505
